Gene	Product
arnA	fused UDP-4-amino-4-deoxy-L-arabinose
arnB	UDP-4-amino-4-deoxy-L-arabinose
arnC	undecaprenyl-phosphate
arnD	putative
arnE	undecaprenyl-phosphate-alpha-L-Ara4N flippase -
arnF	undecaprenyl-phosphate-alpha-L-Ara4N flippase -
arnT	lipid IVA
aroA	3-phosphoshikimate 1-carboxyvinyltransferase
aroB	3-dehydroquinate synthase
aroC	chorismate synthase
aroD	3-dehydroquinate dehydratase
aroE	shikimate dehydrogenase
aroF	3-deoxy-7-phosphoheptulonate synthase,
aroG	3-deoxy-7-phosphoheptulonate synthase,
aroH	3-deoxy-7-phosphoheptulonate synthase,
aroK	shikimate kinase 1
aroL	shikimate kinase 2
aroM	protein AroM
aroP	aromatic amino acid:H(+) symporter AroP
arpA	ankyrin-like regulator
arrS	small regulatory RNA ArrS
arsB	arsenite/antimonite:H(+) antiporter
arsC	arsenate reductase
arsR	DNA-binding transcriptional repressor ArsR
artI	putative ABC transporter periplasmic binding
artJ	L-arginine ABC transporter periplasmic binding
artM	L-arginine ABC transporter membrane subunit
artP	L-arginine ABC transporter ATP binding subunit
artQ	L-arginine ABC transporter membrane subunit
ascB	cryptic 6-phospho-beta-glucosidase AscB
ascF	cryptic beta-glucoside specific PTS enzyme IIBC
ascG	DNA-binding transcriptional repressor AscG
ascrp	small antisense RNA AsCRP
asd	aspartate-semialdehyde dehydrogenase
asflhD	small antisense RNA AsflhD
aslA	putative sulfatase AslA
aslB	putative anaerobic sulfatase maturation enzyme
asmA	putative assembly protein AsmA
asnA	asparagine synthetase A
asnB	asparagine synthetase B
asnC	DNA-binding transcriptional dual regulator AsnC
asnS	asparagine--tRNA ligase
asnT	tRNA-Asn
asnU	tRNA-Asn
asnV	tRNA-Asn
asnW	tRNA-Asn
asompR	small antisense RNA AsompR
aspA	aspartate ammonia-lyase
aspC	aspartate aminotransferase
aspS	aspartate--tRNA ligase
aspT	tRNA-Asp
aspU	tRNA-Asp
aspV	tRNA-Asp
aspX	small regulatory RNA AspX
asphoP	small antisense RNA AsphoP
asr	periplasmic chaperone Asr
astA	arginine N-succinyltransferase
astB	N-succinylarginine dihydrolase
astC	succinylornithine transaminase
astD	aldehyde dehydrogenase
astE	succinylglutamate desuccinylase
atoA	acetyl-CoA:acetoacetyl-CoA transferase subunit
atoB	acetyl-CoA acetyltransferase
atoC	DNA-binding transcriptional activator/ornithine
atoD	acetyl-CoA:acetoacetyl-CoA transferase subunit
atoE	short chain fatty acid transporter
atoS	sensor histidine kinase AtoS
atpA	ATP synthase F1 complex subunit alpha
atpB	ATP synthase Fo complex subunit a
atpC	ATP synthase F1 complex subunit epsilon
atpD	ATP synthase F1 complex subunit beta
atpE	ATP synthase Fo complex subunit c
atpF	ATP synthase Fo complex subunit b
atpG	ATP synthase F1 complex subunit gamma
atpH	ATP synthase F1 complex subunit delta
atpI	ATP synthase accessory factor AtpI
avtA	valine--pyruvate aminotransferase
azoR	FMN dependent NADH:quinone oxidoreductase
azuC	small regulatory membrane protein AzuC
azuR	small regulatory RNA AzuR
bacA	undecaprenyl pyrophosphate phosphatase
baeR	DNA-binding transcriptional activator BaeR
baeS	sensor histidine kinase BaeS
bamA	outer membrane protein assembly factor BamA
bamB	outer membrane protein assembly factor BamB
bamC	outer membrane protein assembly factor BamC
bamD	outer membrane protein assembly factor BamD
bamE	outer membrane protein assembly factor BamE
barA	sensor histidine kinase BarA
basR	DNA-binding transcriptional dual regulator BasR
basS	sensor histidine kinase BasS
bax	putative glycoside hydrolase Bax
baxL	putative translational regulatory protein BaxL
bcp	thiol peroxidase
bcr	multidrug efflux pump Bcr
bcsA	cellulose synthase catalytic subunit
bcsB	cellulose synthase periplasmic subunit
bcsC	cellulose synthase outer membrane channel
bcsE	c-di-GMP-binding protein BcsE
bcsF	putative cellulose biosynthesis protein BcsF
bcsG	cellulose phosphoethanolamine transferase
bcsZ	endo-1,4-D-glucanase
bdcA	c-di-GMP-binding biofilm dispersal mediator
bdcR	putative transcriptional regulator BdcR
bdm	biofilm-dependent modulation protein
beeE	protein BeeE
bepA	beta-barrel assembly-enhancing protease
betA	choline dehydrogenase
betB	betaine aldehyde dehydrogenase
betI	DNA-binding transcriptional repressor BetI
betT	choline:H(+) symporter
bfd	bacterioferritin-associated ferredoxin
bfr	bacterioferritin
bglA	6-phospho-beta-glucosidase A
bglB	cryptic 6-phospho-beta-glucosidase B
bglF	cryptic beta-glucoside specific PTS enzyme
bglG	transcriptional antiterminator BglG
bglH	cryptic carbohydrate-specific outer membrane
bglJ	DNA-binding transcriptional regulator BglJ
bglX	putative periplasmic glycoside hydrolase
bhsA	DUF1471 domain-containing multiple stress
bhsB	small RNA BhsB
bidA	dethiobiotin synthetase BidA
bioA	adenosylmethionine-8-amino-7-oxononanoate
bioB	biotin synthase
bioC	malonyl-acyl carrier protein methyltransferase
bioD	dethiobiotin synthetase
bioF	8-amino-7-oxononanoate synthase
bioH	pimeloyl-acyl carrier protein methyl ester
bioP	biotin transporter
bipA	50S ribosomal subunit assembly factor BipA
birA	DNA-binding transcriptional
bisC	biotin sulfoxide reductase
blc	outer membrane lipocalin protein
blr	beta-lactam resistance protein
bluF	blue light- and temperature-regulated
bluR	DNA-binding transcriptional repressor BluR
bolA	DNA-binding transcriptional dual regulator BolA
borD	prophage lipoprotein BorD
brnQ	branched chain amino acid transporter BrnQ
bsmA	DUF1471 domain-containing putative lipoprotein
bssR	regulator of biofilm formation
bssS	regulator of biofilm formation
btsR	DNA-binding transcriptional dual regulator BtsR
btsS	high-affinity pyruvate receptor
btsT	pyruvate:H(+) symporter
btuB	cobalamin outer membrane transporter
btuC	vitamin B12 ABC transporter membrane subunit
btuD	vitamin B12 ABC transporter ATP binding subunit
btuE	thioredoxin/glutathione peroxidase BtuE
btuF	vitamin B12 ABC transporter periplasmic binding
btuR	cobinamide/cobalamin adenosyltransferase
cadA	lysine decarboxylase 1
cadB	lysine:cadaverine antiporter
cadC	DNA-binding transcriptional activator CadC
caiA	crotonobetainyl-CoA reductase
caiB	gamma-butyrobetainyl-CoA:carnitine CoA
caiC	carnitine--CoA ligase
caiD	crotonobetainyl-CoA hydratase
caiE	putative transferase CaiE
caiF	DNA-binding transcriptional activator CaiF
caiT	L-carnitine:gamma-butyrobetaine antiporter
can	carbonic anhydrase 2
carA	carbamoyl-phosphate synthetase small subunit
carB	carbamoyl-phosphate synthetase large subunit
cas1	multifunctional nuclease Cas1
cas2	CRISPR-associated endoribonuclease Cas2
cas3	CRISPR-associated endonuclease/helicase Cas3
casA	type I-E CRISPR system Cascade subunit CasA
casB	type I-E CRISPR system Cascade subunit CasB
casC	type I-E CRISPR system Cascade subunit CasC
casD	type I-E CRISPR system Cascade subunit CasD
casE	pre-CRISPR RNA endonuclease
cbeA	cytoskeleton bundling-enhancing antitoxin CbeA
cbl	DNA-binding transcriptional activator Cbl
cbpA	curved DNA-binding protein
cbpM	chaperone modulator CbpM
cbrA	colicin M resistance protein
cbrB	putative inner membrane protein
cbrC	PF03691 family colicin E2 tolerance protein
cbtA	cytoskeleton-binding toxin CbtA
cca	fused CCA tRNA
ccmA	cytochrome c maturation protein A
ccmB	cytochrome c maturation protein B
ccmC	cytochrome c maturation protein C
ccmD	cytochrome c maturation protein D
ccmE	periplasmic heme chaperone
ccmF	holocytochrome c synthase CcmF component
ccmG	thiol:disulfide oxidoreductase CcmG
ccmH	holocytochrome c synthase CcmH component
ccp	cytochrome c peroxidase
cdaR	DNA-binding transcriptional activator CdaR
cdd	cytidine/deoxycytidine deaminase
cdgI	putative c-di-GMP binding protein CdgI
cdh	CDP-diacylglycerol diphosphatase
cdsA	CDP-diglyceride synthetase
cecR	DNA-binding transcriptional dual regulator CecR
cedA	cell division modulator
cfa	cyclopropane fatty acyl phospholipid synthase
chaA	Na(+)/K(+):H(+) antiporter ChaA
chaB	putative cation transport regulator ChaB
chaC	glutathione-specific
chbA	N,N'-diacetylchitobiose-specific PTS enzyme IIA
chbB	N,N'-diacetylchitobiose-specific PTS enzyme IIB
chbC	N,N'-diacetylchitobiose-specific PTS enzyme IIC
chbF	monoacetylchitobiose-6-phosphate hydrolase
chbG	chitooligosaccharide monodeacetylase ChbG
chbR	DNA binding transcriptional dual regulator ChbR
cheA	chemotaxis protein CheA
cheB	protein-glutamate methylesterase/protein
cheR	chemotaxis protein methyltransferase
cheW	chemotaxis protein CheW
cheY	chemotaxis protein CheY
