Gene	Product
emtA	lytic murein transglycosylase E
endA	DNA-specific endonuclease I
eno	enolase
entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entB	enterobactin synthase component B
entC	isochorismate synthase EntC
entD	phosphopantetheinyl transferase EntD
entE	2,3-dihydroxybenzoate-AMP ligase
entF	apo-serine activating enzyme
entH	proofreading thioesterase in enterobactin
entS	enterobactin exporter EntS
envC	murein hydrolase activator EnvC
envR	DNA-binding transcriptional repressor EnvR
envY	DNA-binding transcriptional activator EnvY
envZ	sensor histidine kinase EnvZ
epd	D-erythrose-4-phosphate dehydrogenase
epmA	EF-P-lysine lysyltransferase
epmB	lysine 2,3-aminomutase
epmC	EF-P-Lys34 hydroxylase
eptA	phosphoethanolamine transferase EptA
eptB	phosphoethanolamine transferase EptB
eptC	phosphoethanolamine transferase EptC
era	30S ribosomal subunit maturation GTPase Era
erpA	iron-sulfur cluster insertion protein ErpA
esrE	small RNA EsrE
essD	putative phage lysis protein
essQ	putative prophage lysis protein EssQ
etk	protein-tyrosine kinase Etk
etp	phosphotyrosine-protein phosphatase Etp
ettA	energy-dependent translational throttle protein
eutA	ethanolamine ammonia-lyase reactivase EutA
eutB	ethanolamine ammonia-lyase subunit alpha
eutC	ethanolamine ammonia-lyase subunit beta
eutD	phosphate acetyltransferase EutD
eutE	acetaldehyde dehydrogenase (acetylating) EutE
eutG	putative alcohol dehydrogenase EutG
eutH	putative ethanolamine permease EutH
eutJ	putative ethanolamine utilization chaperonin
eutK	putative structural protein, ethanolamine
eutL	putative structural protein, ethanolamine
eutM	putative ethanolamine catabolic microcompartment
eutN	putative ethanolamine catabolic microcompartment
eutP	putative ethanolamine utilization acetate kinase
eutQ	putative ethanolamine utilization acetate kinase
eutR	putative DNA-binding transcriptional regulator
eutS	putative ethanolamine catabolic microcompartment
eutT	putative ethanolamine utilization cobalamin
evgA	DNA-binding transcriptional activator EvgA
evgL	protein EvgL
evgS	sensor histidine kinase EvgS
exbB	Ton complex subunit ExbB
exbD	Ton complex subunit ExbD
exoX	exonuclease X
exuR	DNA-binding transcriptional repressor ExuR
exuT	hexuronate transporter
eyeA	small RNA EyeA
fabA	beta-hydroxyacyl-acyl carrier protein
fabB	3-oxoacyl-[acyl carrier protein] synthase 1
fabD	[acyl-carrier-protein] S-malonyltransferase
fabF	3-oxoacyl-[acyl carrier protein] synthase 2
fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG
fabH	3-oxoacyl-[acyl carrier protein] synthase 3
fabI	enoyl-[acyl-carrier-protein] reductase
fabR	DNA-binding transcriptional repressor FabR
fabY	putative fatty acid biosynthesis enzyme FabY
fabZ	3-hydroxy-acyl-[acyl-carrier-protein]
fadA	3-ketoacyl-CoA thiolase
fadB	multifunctional enoyl-CoA hydratase,
fadD	long-chain-fatty-acid--CoA ligase
fadE	acyl-CoA dehydrogenase
fadH	2,4-dienoyl-CoA reductase
fadI	3-ketoacyl-CoA thiolase FadI
fadJ	multifunctional 3-hydroxyacyl-CoA
fadK	medium-chain-fatty-acid--CoA ligase
fadL	long-chain fatty acid outer membrane
fadM	long-chain acyl-CoA thioesterase FadM
fadR	DNA-binding transcriptional dual regulator FadR
fau	5-formyltetrahydrofolate cyclo-ligase
fbaA	fructose-bisphosphate aldolase class II
fbaB	fructose-bisphosphate aldolase class I
fbp	fructose-1,6-bisphosphatase 1
fcl	GDP-L-fucose synthase
fdhD	sulfurtransferase for molybdenum cofactor
fdhE	formate dehydrogenase formation protein
fdhF	formate dehydrogenase H
fdnG	formate dehydrogenase N subunit alpha
fdnH	formate dehydrogenase N subunit beta
fdnI	formate dehydrogenase N subunit gamma
fdoG	formate dehydrogenase O subunit alpha
fdoH	formate dehydrogenase O subunit beta
fdoI	formate dehydrogenase O subunit gamma
fdrA	putative oxamate carbamoyltransferase FdrA
fdx	reduced ferredoxin
feaB	phenylacetaldehyde dehydrogenase
feaR	DNA-binding transcriptional activator FeaR
fecA	ferric citrate outer membrane transporter
fecB	ferric citrate ABC transporter periplasmic
fecC	ferric citrate ABC transporter membrane subunit
fecD	ferric citrate ABC transporter membrane subunit
fecE	ferric citrate ABC transporter ATP binding
fecI	RNA polymerase sigma factor FecI
fecR	ferric citrate regulator FecR
feoA	Fe(2(+)) transport protein A
feoB	Fe(2(+)) transporter FeoB
feoC	Fe(2(+)) transport protein FeoC
fepA	ferric enterobactin outer membrane transporter
fepB	ferric enterobactin ABC transporter periplasmic
fepC	ferric enterobactin ABC transporter ATP binding
fepD	ferric enterobactin ABC transporter membrane
fepE	polysaccharide co-polymerase family protein
fepG	ferric enterobactin ABC transporter membrane
fes	ferric enterobactin esterase
fetA	putative iron ABC exporter ATP-binding subunit
fetB	putative iron ABC exporter membrane subunit
ffh	signal recognition particle protein component
ffs	signal recognition particle 4.5S RNA
fhlA	DNA-binding transcriptional activator FhlA
fhuA	ferrichrome outer membrane transporter/phage
fhuB	Fe(3(+)) hydroxamate ABC transporter membrane
fhuC	Fe(3(+)) hydroxamate ABC transporter ATP binding
fhuD	Fe(3(+)) hydroxamate ABC transporter periplasmic
fhuE	ferric coprogen/ferric rhodotorulic acid outer
fhuF	ferric-siderophore reductase FhuF
fic	putative adenosine monophosphate--protein
fieF	Zn(2(+))/Fe(2(+))/Cd(2(+)) exporter
fimA	type 1 fimbriae major subunit
fimB	Type 1 fimbriae regulatory protein FimB
fimC	type 1 fimbriae periplasmic chaperone
fimD	type I fimbriae usher protein
fimE	regulator for fimA
fimF	type 1 fimbriae minor subunit FimF
fimG	type 1 fimbriae minor subunit FimG
fimH	type 1 fimbriae D-mannose specific adhesin
fimI	putative fimbrial protein FimI
fimR2	small regulatory RNA FimR2
fimZ	LuxR family transcriptional regulator FimZ
fis	DNA-binding transcriptional dual regulator Fis
fiu	Fe catecholate outer membrane transporter Fiu
fixA	putative electron transfer flavoprotein FixA
fixB	putative electron transfer flavoprotein FixB
fixC	putative oxidoreductase FixC
fixX	putative ferredoxin FixX
fklB	peptidyl-prolyl cis-trans isomerase FklB
fkpA	peptidyl-prolyl cis-trans isomerase/OMP
fkpB	peptidyl-prolyl cis-trans isomerase FkpB
fldA	flavodoxin 1
fldB	flavodoxin 2
flgA	flagellar basal body P-ring formation protein
flgB	flagellar basal-body rod protein FlgB
flgC	flagellar basal-body rod protein FlgC
flgD	flagellar biosynthesis, initiation of hook
flgE	flagellar hook protein FlgE
flgF	flagellar basal-body rod protein FlgF
flgG	flagellar basal-body rod protein FlgG
flgH	flagellar L-ring protein
flgI	flagellar P-ring protein
flgJ	putative peptidoglycan hydrolase FlgJ
flgK	flagellar hook-filament junction protein 1
flgL	flagellar hook-filament junction protein 2
flgM	anti-sigma factor for FliA (sigma(28))
flgN	flagellar biosynthesis protein FlgN
flgO	small RNA FlgO
flhA	flagellar biosynthesis protein FlhA
flhB	flagellar biosynthesis protein FlhB
flhC	DNA-binding transcriptional dual regulator FlhC
flhD	DNA-binding transcriptional dual regulator FlhD
flhE	flagellar protein FlhE
fliA	RNA polymerase sigma factor FliA
fliC	flagellar filament structural protein
fliD	flagellar filament capping protein
fliE	flagellar protein FliE
fliF	flagellar basal-body MS-ring and collar protein
fliG	flagellar motor switch protein FliG
fliH	flagellar biosynthesis protein FliH
fliI	flagellar export ATPase FliI
fliJ	flagellar biosynthesis protein FliJ
fliK	flagellar hook-length control protein
fliL	flagellar protein FliL
fliM	flagellar motor switch protein FliM
fliN	flagellar motor switch protein FliN
fliO	flagellar biosynthesis protein FliO
fliP	flagellar biosynthesis protein FliP
fliQ	flagellar biosynthesis protein FliQ
fliR	flagellar biosynthesis protein FliR
fliS	flagellar biosynthesis protein FliS
fliT	flagellar biosynthesis protein FliT
fliX	small RNA FliX
fliZ	DNA-binding transcriptional regulator FliZ
flk	putative flagella assembly protein
flu	self recognizing antigen 43 (Ag43)
flxA	PF14282 family protein FlxA
fmt	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet)
fnr	DNA-binding transcriptional dual regulator FNR
fnrS	small regulatory RNA FnrS
focA	formate channel FocA
focB	formate channel FocB
folA	dihydrofolate reductase
folB	dihydroneopterin aldolase
folC	bifunctional folylpolyglutamate
folD	bifunctional methylenetetrahydrofolate
folE	GTP cyclohydrolase 1
folK	2-amino-4-hydroxy-6-
folM	dihydromonapterin reductase
folP	dihydropteroate synthase
folX	dihydroneopterin triphosphate 2'-epimerase
fpr	flavodoxin/ferredoxin-NADP(+) reductase
frc	formyl-CoA transferase
frdA	fumarate reductase flavoprotein subunit
frdB	fumarate reductase [Fe-S] protein
frdC	fumarate reductase membrane protein FrdC
frdD	fumarate reductase membrane protein FrdD
fre	NAD(P)H-flavin reductase
frlA	fructoselysine/psicoselysine transporter
frlB	fructoselysine 6-phosphate deglycase
frlC	fructoselysine 3-epimerase
frlD	fructoselysine 6-kinase
frlR	DNA-binding transcriptional regulator FrlR
frmA	S-(hydroxymethyl)glutathione dehydrogenase
frmB	S-formylglutathione hydrolase FrmB
frmR	DNA-binding transcriptional repressor FrmR
frr	ribosome-recycling factor
frsA	fermentation-respiration switch protein
fruA	fructose-specific PTS multiphosphoryl transfer
fruB	fructose-specific PTS multiphosphoryl transfer
fruK	1-phosphofructokinase
frvA	putative PTS enzyme IIA component FrvA
frvB	putative PTS enzyme IIBC component FrvB
frvR	putative DNA-binding transcriptional regulator
frvX	peptidase M42 family protein FrvX
frwB	putative PTS enzyme IIB component FrwB
frwC	putative PTS enzyme IIC component FrwC
frwD	putative PTS enzyme IIB component FrwD
fryA	putative PTS multiphosphoryl transfer protein
fryB	putative PTS enzyme IIB component FryB
fryC	putative PTS enzyme IIC component FryC
fsaA	fructose-6-phosphate aldolase 1
fsaB	fructose-6-phosphate aldolase 2
fsr	fosmidomycin efflux pump
ftnA	ferritin iron storage protein
ftnB	putative ferritin-like protein
ftp	FAD:protein FMN transferase
ftsA	cell division protein FtsA
ftsB	cell division protein FtsB
ftsE	cell division protein FtsE
ftsH	ATP-dependent zinc metalloprotease FtsH
ftsI	peptidoglycan DD-transpeptidase FtsI
ftsK	cell division DNA translocase FtsK
ftsL	cell division protein FtsL
ftsN	cell division protein FtsN
ftsO	small regulatory RNA FtsO
ftsP	cell division protein FtsP
ftsQ	cell division protein FtsQ
ftsW	peptidoglycan glycosyltransferase FtsW
ftsX	cell division protein FtsX
ftsY	signal recognition particle receptor
ftsZ	cell division protein FtsZ
fucA	L-fuculose-phosphate aldolase
fucI	L-fucose isomerase
fucK	L-fuculokinase
fucO	L-1,2-propanediol oxidoreductase
fucP	L-fucose:H(+) symporter
fucR	DNA-binding transcriptional activator FucR
fucU	L-fucose mutarotase
fumA	fumarase A
fumB	fumarase B
fumC	fumarase C
fumD	fumarase D
fumE	fumarase E
fur	DNA-binding transcriptional dual regulator Fur
fusA	elongation factor G
fxsA	protein FxsA
gabD	succinate-semialdehyde dehydrogenase (NADP(+))
gabP	4-aminobutanoate:H(+) symporter
gabT	4-aminobutyrate aminotransferase GabT
gadA	glutamate decarboxylase A
gadB	glutamate decarboxylase B
gadC	L-glutamate:4-aminobutyrate antiporter
gadE	DNA-binding transcriptional activator GadE
gadF	small regulatory RNA GadF
gadW	DNA-binding transcriptional dual regulator GadW
gadX	DNA-binding transcriptional dual regulator GadX
gadY	small regulatory RNA GadY
galE	UDP-glucose 4-epimerase
galF	UTP:glucose-1-phosphate uridylyltransferase, low
galK	galactokinase
galM	galactose-1-epimerase
galP	galactose:H(+) symporter
galR	DNA-binding transcriptional dual regulator GalR
galS	DNA-binding transcriptional dual regulator GalS
galT	galactose-1-phosphate uridylyltransferase
galU	UTP--glucose-1-phosphate uridylyltransferase
gapA	glyceraldehyde-3-phosphate dehydrogenase A
garD	galactarate dehydratase
garK	glycerate 2-kinase 1
garL	alpha-dehydro-beta-deoxy-D-glucarate aldolase
garP	galactarate/D-glucarate transporter GarP
garR	tartronate semialdehyde reductase
gatA	galactitol-specific PTS enzyme IIA component
gatB	galactitol-specific PTS enzyme IIB component
gatD	galactitol-1-phosphate 5-dehydrogenase
gatR	DNA-binding transcriptional repressor GatR,
gatY	tagatose-1,6-bisphosphate aldolase 2
gatZ	putative tagatose-1,6-bisphosphate aldolase 2
gcd	quinoprotein glucose dehydrogenase
gcl	glyoxylate carboligase
gcvA	DNA-binding transcriptional dual regulator GcvA
gcvB	small regulatory RNA GcvB
gcvH	glycine cleavage system H protein
gcvP	glycine decarboxylase
gcvR	transcriptional regulator GcvR
gcvT	aminomethyltransferase
gdhA	glutamate dehydrogenase
gdx	guanidinium exporter
gfcA	threonine-rich inner membrane protein GfcA
gfcB	lipoprotein GfcB
gfcC	capsule biosynthesis GfcC family protein
gfcD	putative lipoprotein GfcD
gfcE	putative exopolysaccharide export lipoprotein
ggt	glutathione hydrolase proenzyme
ghoS	antitoxin of the GhoTS toxin-antitoxin system
ghoT	toxin of the GhoTS toxin-antitoxin system
ghrA	glyoxylate/hydroxypyruvate reductase A
ghrB	glyoxylate reductase
ghxP	guanine/hypoxanthine transporter GhxP
ghxQ	guanine/hypoxanthine transporter GhxQ
glaH	glutarate dioxygenase GlaH
glaR	DNA-binding transcriptional repressor GlaR
glcA	glycolate/lactate:H(+) symporter GlcA
glcB	malate synthase G
glcC	DNA-binding transcriptional dual regulator GlcC
glcD	glycolate dehydrogenase, predicted FAD-linked
glcE	glycolate dehydrogenase, predicted FAD-binding
glcF	glycolate dehydrogenase, [Fe-S] subunit
glcG	putative heme-binding protein GlcG
gldA	L-1,2-propanediol dehydrogenase/glycerol
glf	UDP-galactopyranose mutase
glgA	glycogen synthase
glgB	1,4-alpha-glucan branching enzyme
glgC	glucose-1-phosphate adenylyltransferase
glgP	glycogen phosphorylase
glgS	surface composition regulator
glgX	limit dextrin alpha-1,6-glucohydrolase
glk	glucokinase
glmM	phosphoglucosamine mutase
glmS	L-glutamine--D-fructose-6-phosphate
glmU	fused N-acetylglucosamine-1-phosphate
glmY	small regulatory RNA GlmY
glmZ	small regulatory RNA GlmZ
glnA	glutamine synthetase
glnB	nitrogen regulatory protein PII-1
glnD	protein-PII
glnE	fused glutamine synthetase deadenylase/glutamine
glnG	DNA-binding transcriptional dual regulator NtrC
glnH	L-glutamine ABC transporter periplasmic binding
glnK	nitrogen regulatory protein PII-2
glnL	protein histidine kinase NtrB
glnP	L-glutamine ABC transporter membrane subunit
glnQ	L-glutamine ABC transporter ATP binding subunit
glnS	glutamine--tRNA ligase
glnU	tRNA-Gln
glnV	tRNA-Gln
glnW	tRNA-Gln
glnX	tRNA-Gln
glnZ	small regulatory RNA GlnZ
gloA	lactoylglutathione lyase
gloB	hydroxyacylglutathione hydrolase GloB
gloC	hydroxyacylglutathione hydrolase GloC
glpA	anaerobic glycerol-3-phosphate dehydrogenase
glpB	anaerobic glycerol-3-phosphate dehydrogenase
glpC	anaerobic glycerol-3-phosphate dehydrogenase
glpD	aerobic glycerol 3-phosphate dehydrogenase
glpE	thiosulfate sulfurtransferase GlpE
glpF	glycerol facilitator
glpG	rhomboid protease GlpG
glpK	glycerol kinase
glpQ	glycerophosphoryl diester phosphodiesterase
glpT	sn-glycerol 3-phosphate:phosphate antiporter
glpX	fructose-1,6-bisphosphatase 2
glrK	histidine kinase GlrK
glrR	DNA-binding transcriptional activator GlrR
glsA	glutaminase 1
glsB	glutaminase 2
gltA	citrate synthase
gltB	glutamate synthase subunit GltB
gltD	glutamate synthase subunit GltD
gltF	periplasmic protein GltF
gltI	glutamate/aspartate ABC transporter periplasmic
gltJ	glutamate/aspartate ABC transporter membrane
gltK	glutamate/aspartate ABC transporter membrane
gltL	glutamate/aspartate ABC transporter ATP binding
gltP	glutamate/aspartate : H(+) symporter GltP
gltS	glutamate:sodium symporter
gltT	tRNA-Glu
gltU	tRNA-Glu
gltV	tRNA-Glu
gltW	tRNA-Glu
gltX	glutamate--tRNA ligase
gluQ	glutamyl-Q tRNA(Asp) synthetase
glvB	putative PTS enzyme II component GlvB
glvC	putative PTS enzyme II component GlvC
glxK	glycerate 2-kinase 2
glxR	tartronate semialdehyde reductase 2
glyA	serine hydroxymethyltransferase
glyQ	glycine--tRNA ligase subunit alpha
glyS	glycine--tRNA ligase
glyT	tRNA-Gly
glyU	tRNA-Gly
glyV	tRNA-Gly
glyW	tRNA-Gly
glyX	tRNA-Gly
glyY	tRNA-Gly
gmd	GDP-mannose 4,6-dehydratase
gmhA	D-sedoheptulose 7-phosphate isomerase
gmhB	D-glycero-beta-D-manno-heptose-1,7-bisphosphate
gmk	guanylate kinase
gmm	GDP-mannose mannosyl hydrolase
gnd	6-phosphogluconate dehydrogenase,
gnsA	putative phosphatidylethanolamine synthesis
gnsB	protein GnsB
gntK	D-gluconate kinase, thermostable
gntP	fructuronate transporter
gntR	DNA-binding transcriptional repressor GntR
gntT	high-affinity gluconate transporter
gntU	low-affinity gluconate transporter
gor	glutathione reductase (NADPH)
gph	phosphoglycolate phosphatase
gpmA	2,3-bisphosphoglycerate-dependent
gpmM	2,3-bisphosphoglycerate-independent
gpp	guanosine-5'-triphosphate,3'-diphosphate
gpr	L-glyceraldehyde 3-phosphate reductase
gpsA	glycerol-3-phosphate dehydrogenase
gpt	xanthine-guanine phsophoribosyltransferase
grcA	stress-induced alternate pyruvate formate-lyase
greA	transcription elongation factor GreA
greB	transcription elongation factor GreB
groL	chaperonin GroEL
groS	cochaperonin GroES
grpE	nucleotide exchange factor GrpE
grxA	reduced glutaredoxin 1
grxB	reduced glutaredoxin 2
grxC	reduced glutaredoxin 3
grxD	glutaredoxin 4
gshA	glutamate--cysteine ligase
gshB	glutathione synthetase
gsiA	glutathione ABC transporter ATP binding subunit
gsiB	glutathione ABC transporter periplasmic binding
gsiC	glutathione ABC transporter membrane subunit
gsiD	glutathione ABC transporter membrane subunit
gsk	inosine/guanosine kinase
gspA	cryptic type II secretion system protein GspA
gspB	cryptic type II secretion system protein GspB
gspC	cryptic type II secretion system protein GspC
gspD	cryptic type II secretion system secretin
gspE	cryptic type II secretion system ATPase GspE
gspF	cryptic type II secretion system protein GspF
gspG	cryptic type II secretion system major
gspH	cryptic type II secretion system minor
gspI	cryptic type II secretion system minor
gspJ	cryptic type II secretion system minor
gspK	cryptic type II secretion system minor
gspL	cryptic type II secretion system protein GspL
gspM	cryptic type II secretion system protein GspM
gspO	cryptic type II secretion system prepilin
gss	fused glutathionylspermidine
gstA	glutathione S-transferase GstA
gstB	glutathione S-transferase GstB
guaA	GMP synthetase
guaB	inosine 5'-monophosphate dehydrogenase
guaC	GMP reductase
guaD	guanine deaminase
gudD	D-glucarate dehydratase
gudP	galactarate/D-glucarate transporter GudP
gudX	glucarate dehydratase-related protein
gutM	DNA-binding transcriptional activator GutM
gutQ	D-arabinose 5-phosphate isomerase GutQ
gyrA	DNA gyrase subunit A
gyrB	DNA gyrase subunit B
hcaB	2,3-dihydroxy-2,3-dihydrophenylpropionate
hcaC	putative 3-phenylpropionate/cinnamate
hcaD	putative 3-phenylpropionate/cinnamate
hcaE	putative 3-phenylpropionate/cinnamate
hcaF	putative 3-phenylpropionate/cinnamate
hcaR	DNA-binding transcriptional dual regulator HcaR
hcaT	putative 3-phenylpropionate transporter
hchA	protein/nucleic acid deglycase 1
hcp	protein S-nitrosylase
hcr	NADH oxidoreductase
hcxA	hydroxycarboxylate dehydrogenase A
hcxB	hydroxycarboxylate dehydrogenase B
hda	inibitor of reinitiation of DNA replication
hdeA	periplasmic acid stress chaperone HdeA
hdeB	periplasmic acid stress chaperone HdeB
hdeD	acid-resistance membrane protein
hdfR	DNA-binding transcriptional dual regulator HdfR
hdhA	7-alpha-hydroxysteroid dehydrogenase
helD	DNA helicase IV
hemA	glutamyl-tRNA reductase
hemB	porphobilinogen synthase
hemC	hydroxymethylbilane synthase
hemD	uroporphyrinogen-III synthase
hemE	uroporphyrinogen decarboxylase
hemF	coproporphyrinogen III oxidase
hemG	protoporphyrinogen oxidase
hemH	ferrochelatase
hemL	glutamate-1-semialdehyde 2,1-aminomutase
hemN	coproporphyrinogen III dehydrogenase
hemW	heme chaperone HemW
hemX	PF04375 family protein HemX
hemY	protein HemY
hflC	regulator of FtsH protease
hflD	lysogenization regulator
hflK	regulator of FtsH protease
hflX	ribosome rescue factor HflX
hfq	RNA-binding protein Hfq
hha	hemolysin expression-modulating protein Hha
hicA	mRNA interferase toxin HicA
hicB	antitoxin of the HicA-HicB toxin-antitoxin
higA	antitoxin/DNA-binding transcriptional repressor
higB	ribosome-dependent mRNA interferase toxin HigB
hinT	purine nucleoside phosphoramidase
hipA	serine/threonine-protein kinase toxin HipA
hipB	antitoxin/DNA-binding transcriptional repressor
hipH	serine/threonine-protein kinase toxin HipH
hisA	1-(5-phosphoribosyl)-5-[(5-
hisB	imidazoleglycerol-phosphate
hisC	histidinol-phosphate aminotransferase
hisD	histidinal/histidinol dehydrogenase
hisF	imidazole glycerol phosphate synthase subunit
hisG	ATP phosphoribosyltransferase
hisH	imidazole glycerol phosphate synthase subunit
hisI	putative bifunctional phosphoribosyl-AMP
hisJ	histidine ABC transporter periplasmic binding
hisL	his operon leader peptide
hisM	lysine/arginine/ornithine ABC
hisP	lysine/arginine/ornithine ABC
hisQ	lysine/arginine/ornithine ABC
hisR	tRNA-His
hisS	histidine--tRNA ligase
hiuH	hydroxyisourate hydrolase/transthyretin-related
hldE	fused heptose 7-phosphate kinase/heptose
hlyE	hemolysin E
hmp	nitric oxide dioxygenase
hns	DNA-binding transcriptional dual regulator H-NS
hofB	T2SSE family protein
hofC	inner membrane protein HofC
hofM	DNA utilization protein HofM
hofN	DNA utilization protein HofN
hofO	DNA utilization protein HofO
hofP	DNA utilization protein HofP
hofQ	DNA utilization protein HofQ
hokA	small toxic polypeptide
hokB	toxin HokB
hokC	small toxic polypeptide HokC
hokD	toxic protein HokD
hokE	small toxic polypeptide HokE
holA	DNA polymerase III subunit delta
holB	DNA polymerase III subunit delta'
holC	DNA polymerase III subunit chi
holD	DNA polymerase III subunit psi
holE	DNA polymerase III subunit theta
hpf	ribosome hibernation-promoting factor
hprR	DNA-binding transcriptional dual regulator HprR
hprS	sensor histidine kinase HprS
hpt	hypoxanthine phosphoribosyltransferase
hrpA	ATP-dependent 3'->5' RNA helicase HrpA
hrpB	RNA-dependent NTPase HrpB
hscA	[Fe-S] cluster biosynthesis chaperone HscA
hscB	[Fe-S] cluster biosynthesis co-chaperone HscB
hscC	chaperone protein HscC
hsdM	type I restriction enzyme EcoKI methylase
hsdR	type I restriction enzyme EcoKI endonuclease
hsdS	type I restriction enzyme EcoKI specificity
hslJ	lipoprotein implicated in Novobiocin resistance
hslO	molecular chaperone Hsp33
hslR	heat shock protein Hsp15
hslU	ATPase component of the HslVU protease
hslV	peptidase component of the HslVU protease
hspQ	heat shock protein HspQ
hsrA	putative transporter HsrA
htpG	chaperone protein HtpG
htpX	protease HtpX
htrE	putative fimbrial usher protein HtrE
htrL	protein HtrL
hupA	DNA-binding protein HU-alpha
hupB	DNA-binding protein HU-beta
hxpA	hexitol phosphatase A
hxpB	hexitol phosphatase B
hyaA	hydrogenase 1 small subunit
hyaB	hydrogenase 1 large subunit
hyaC	hydrogenase 1 cytochrome b subunit
hyaD	putative hydrogenase 1 maturation protease HyaD
hyaE	putative HyaA chaperone
hyaF	protein HyaF
hybA	hydrogenase 2 [Fe-S] protein
hybB	hydrogenase 2 membrane subunit
hybC	hydrogenase 2 large subunit
hybD	hydrogenase 2 maturation protease
hybE	hydrogenase 2-specific chaperone
hybF	hydrogenase maturation protein HybF
hybG	hydrogenase maturation factor HybG
hybO	hydrogenase 2 small subunit
hycA	regulator of the transcriptional regulator FhlA
hycB	hydrogenase 3 [Fe-S] protein HycB
hycC	hydrogenase 3 membrane subunit HycC
hycD	hydrogenase 3 membrane subunit HycD
hycE	hydrogenase 3 large subunit
hycF	hydrogenase 3 [Fe-S] protein HycF
hycG	hydrogenase 3 [Fe-S] protein HycG
hycH	formate hydrogenlyase assembly protein
hycI	hydrogenase 3 maturation protease
hydN	putative electron transport protein HydN
hyfA	hydrogenase 4 component A
hyfB	hydrogenase 4 component B
hyfC	hydrogenase 4 component C
hyfD	hydrogenase 4 component D
hyfE	hydrogenase 4 component E
hyfF	hydrogenase 4 component F
hyfG	hydrogenase 4 catalytic subunit HyfG
hyfH	hydrogenase 4 component H
hyfI	hydrogenase 4 catalytic subunit HyfI
hyfJ	putative hydrogenase 4 assembly protein
hyfR	DNA-binding transcriptional activator HyfR
hyi	hydroxypyruvate isomerase
hypA	hydrogenase 3 Ni(2(+)) incorporation protein
hypB	hydrogenase isoenzymes Ni(2(+)) incorporation
hypC	hydrogenase maturation factor HypC
hypD	Fe-(CN)2CO cofactor assembly scaffold protein
hypE	carbamoyl dehydratase HypE
hypF	carbamoyl--[HypE] ligase
hypT	DNA-binding transcriptional dual regulator HypT
hyuA	phenylhydantoinase
iaaA	isoaspartyl dipeptidase proenzyme
iadA	isoaspartyl dipeptidase
iap	alkaline phosphatase isozyme conversion protein
ibaG	acid stress protein IbaG
ibpA	small heat shock protein IbpA
ibpB	small heat shock protein IbpB
ibsA	toxic peptide IbsA
ibsB	putative toxic peptide IbsB
ibsC	toxic peptide IbsC
ibsD	putative toxic peptide IbsD
ibsE	toxic peptide IbsE
icd	isocitrate dehydrogenase
iclR	DNA-binding transcriptional repressor IclR
idi	isopentenyl-diphosphate Delta-isomerase
idlP	iraD leader peptide
idnD	L-idonate 5-dehydrogenase
idnK	D-gluconate kinase, thermosensitive
idnO	5-keto-D-gluconate 5-reductase
idnR	DNA-binding transcriptional dual regulator IdnR
idnT	L-idonate/5-ketogluconate/gluconate transporter
igaA	inner membrane protein involved in phosphorelay
ihfA	integration host factor subunit alpha
ihfB	integration host factor subunit beta
ileS	isoleucine--tRNA ligase
ileT	tRNA-Ile
ileU	tRNA-Ile
ileV	tRNA-Ile
ileX	tRNA-Ile
ileY	tRNA-Ile
ilvA	threonine deaminase
ilvB	acetohydroxy acid synthase I subunit IlvB
ilvC	ketol-acid reductoisomerase (NADP(+))
ilvD	dihydroxy-acid dehydratase
ilvE	branched-chain-amino-acid aminotransferase
ilvH	acetolactate synthase/acetohydroxybutanoate
ilvI	acetolactate synthase/acetohydroxybutanoate
ilvL	ilvXGMEDA operon leader peptide
ilvM	acetolactate synthase II subunit IlvM
ilvN	acetohydroxy acid synthase I subunit IlvN
ilvX	uncharacterized protein IlvX
ilvY	DNA-binding transcriptional dual regulator IlvY
inaA	putative lipopolysaccharide kinase InaA
infA	translation initiation factor IF-1
infB	translation initiation factor IF-2beta'
infC	translation initiation factor IF-3
insA1	IS1 family protein InsA
insA2	IS1 protein InsA
insA3	IS1 protein InsA
insA4	IS1 protein InsA
insA5	IS1 protein InsA
insA6	IS1 protein InsA
insA7	IS1 repressor protein InsA
insA9	IS1 repressor TnpA
insB1	IS1 family protein InsB
insB2	IS1 protein InsB
insB3	IS1 protein InsB
insB4	IS1 protein InsB
insB5	IS1 protein InsB
insB6	IS1 protein InsB
insB9	IS1 transposase B
insC1	IS2 element protein InsA
insC2	IS2 insertion element repressor InsA
insC3	IS2 insertion element repressor InsA
insC4	IS2 insertion element repressor InsA
insC5	IS2 insertion element repressor InsA
insC6	IS2 insertion element repressor InsA
insD1	IS2 element protein
insD2	IS2 insertion element protein InsB
insD3	IS2 insertion element protein InsB
insD4	IS2 insertion element protein InsB
insD5	IS2 insertion element protein InsB
insD6	IS2 insertion element protein InsB
insE1	IS3 element protein InsE
insE2	IS3 element protein InsE
insE3	IS3 element protein InsE
insE4	IS3 element protein InsE
insE5	IS3 element protein InsE
insF1	IS3 element protein InsF
insF2	IS3 element protein InsF
insF3	IS3 element protein InsF
insF4	IS3 element protein InsF
insF5	IS3 element protein InsF
insG	IS4 putative transposase
insH1	IS5 transposase and trans-activator
