Gene	Product	Virulence?
argF	ornithine carbamoyltransferase ArgF	No
argG	argininosuccinate synthetase	No
argH	argininosuccinate lyase	No
argI	ornithine carbamoyltransferase ArgI	No
argK	methylmalonyl-CoA mutase-interacting GTPase	No
argL	putative translational regulatory protein ArgL	No
argO	L-arginine exporter	No
argP	DNA-binding transcriptional dual regulator ArgP	No
argQ	tRNA-Arg	No
argR	DNA-binding transcriptional dual regulator ArgR	No
argS	arginine--tRNA ligase	No
argT	lysine/arginine/ornithine ABC transporter	No
argU	tRNA-Arg	No
argV	tRNA-Arg	No
argW	tRNA-Arg	No
argX	tRNA-Arg	No
argY	tRNA-Arg	No
argZ	tRNA-Arg	No
ariR	putative two-component system connector protein	No
arnA	fused UDP-4-amino-4-deoxy-L-arabinose	No
arnB	UDP-4-amino-4-deoxy-L-arabinose	No
arnC	undecaprenyl-phosphate	No
arnD	putative	No
arnE	undecaprenyl-phosphate-alpha-L-Ara4N flippase -	No
arnF	undecaprenyl-phosphate-alpha-L-Ara4N flippase -	No
arnT	lipid IVA	No
aroA	3-phosphoshikimate 1-carboxyvinyltransferase	No
aroB	3-dehydroquinate synthase	No
aroC	chorismate synthase	No
aroD	3-dehydroquinate dehydratase	No
aroE	shikimate dehydrogenase	No
aroF	3-deoxy-7-phosphoheptulonate synthase,	No
aroG	3-deoxy-7-phosphoheptulonate synthase,	No
aroH	3-deoxy-7-phosphoheptulonate synthase,	No
aroK	shikimate kinase 1	No
aroL	shikimate kinase 2	No
aroM	protein AroM	No
aroP	aromatic amino acid:H(+) symporter AroP	No
arpA	ankyrin-like regulator	No
arrS	small regulatory RNA ArrS	No
arsB	arsenite/antimonite:H(+) antiporter	No
arsC	arsenate reductase	No
arsR	DNA-binding transcriptional repressor ArsR	No
artI	putative ABC transporter periplasmic binding	No
artJ	L-arginine ABC transporter periplasmic binding	No
artM	L-arginine ABC transporter membrane subunit	No
artP	L-arginine ABC transporter ATP binding subunit	No
artQ	L-arginine ABC transporter membrane subunit	No
ascB	cryptic 6-phospho-beta-glucosidase AscB	No
ascF	cryptic beta-glucoside specific PTS enzyme IIBC	No
ascG	DNA-binding transcriptional repressor AscG	No
ascrp	small antisense RNA AsCRP	No
asd	aspartate-semialdehyde dehydrogenase	No
asflhD	small antisense RNA AsflhD	No
aslA	putative sulfatase AslA	No
aslB	putative anaerobic sulfatase maturation enzyme	No
asmA	putative assembly protein AsmA	No
asnA	asparagine synthetase A	No
asnB	asparagine synthetase B	No
asnC	DNA-binding transcriptional dual regulator AsnC	No
asnS	asparagine--tRNA ligase	No
asnT	tRNA-Asn	No
asnU	tRNA-Asn	No
asnV	tRNA-Asn	No
asnW	tRNA-Asn	No
asompR	small antisense RNA AsompR	No
aspA	aspartate ammonia-lyase	No
aspC	aspartate aminotransferase	No
aspS	aspartate--tRNA ligase	No
aspT	tRNA-Asp	No
aspU	tRNA-Asp	No
aspV	tRNA-Asp	No
aspX	small regulatory RNA AspX	No
asphoP	small antisense RNA AsphoP	No
asr	periplasmic chaperone Asr	No
astA	arginine N-succinyltransferase	No
astB	N-succinylarginine dihydrolase	No
astC	succinylornithine transaminase	No
astD	aldehyde dehydrogenase	No
astE	succinylglutamate desuccinylase	No
atoA	acetyl-CoA:acetoacetyl-CoA transferase subunit	No
atoB	acetyl-CoA acetyltransferase	No
atoC	DNA-binding transcriptional activator/ornithine	No
atoD	acetyl-CoA:acetoacetyl-CoA transferase subunit	No
atoE	short chain fatty acid transporter	No
atoS	sensor histidine kinase AtoS	No
atpA	ATP synthase F1 complex subunit alpha	No
atpB	ATP synthase Fo complex subunit a	No
atpC	ATP synthase F1 complex subunit epsilon	No
atpD	ATP synthase F1 complex subunit beta	No
atpE	ATP synthase Fo complex subunit c	No
atpF	ATP synthase Fo complex subunit b	No
atpG	ATP synthase F1 complex subunit gamma	No
atpH	ATP synthase F1 complex subunit delta	No
atpI	ATP synthase accessory factor AtpI	No
avtA	valine--pyruvate aminotransferase	No
azoR	FMN dependent NADH:quinone oxidoreductase	No
azuC	small regulatory membrane protein AzuC	No
azuR	small regulatory RNA AzuR	No
bacA	undecaprenyl pyrophosphate phosphatase	No
baeR	DNA-binding transcriptional activator BaeR	No
