Gene	Product	Virulence?
gltJ	glutamate/aspartate ABC transporter membrane	No
gltK	glutamate/aspartate ABC transporter membrane	No
gltL	glutamate/aspartate ABC transporter ATP binding	No
gltP	glutamate/aspartate : H(+) symporter GltP	No
gltS	glutamate:sodium symporter	No
gltT	tRNA-Glu	No
gltU	tRNA-Glu	No
gltV	tRNA-Glu	No
gltW	tRNA-Glu	No
gltX	glutamate--tRNA ligase	No
gluQ	glutamyl-Q tRNA(Asp) synthetase	No
glvB	putative PTS enzyme II component GlvB	No
glvC	putative PTS enzyme II component GlvC	No
glxK	glycerate 2-kinase 2	No
glxR	tartronate semialdehyde reductase 2	No
glyA	serine hydroxymethyltransferase	No
glyQ	glycine--tRNA ligase subunit alpha	No
glyS	glycine--tRNA ligase	No
glyT	tRNA-Gly	No
glyU	tRNA-Gly	No
glyV	tRNA-Gly	No
glyW	tRNA-Gly	No
glyX	tRNA-Gly	No
glyY	tRNA-Gly	No
gmd	GDP-mannose 4,6-dehydratase	No
gmhA	D-sedoheptulose 7-phosphate isomerase	No
gmhB	D-glycero-beta-D-manno-heptose-1,7-bisphosphate	No
gmk	guanylate kinase	No
gmm	GDP-mannose mannosyl hydrolase	No
gnd	6-phosphogluconate dehydrogenase,	No
gnsA	putative phosphatidylethanolamine synthesis	No
gnsB	protein GnsB	No
gntK	D-gluconate kinase, thermostable	No
gntP	fructuronate transporter	No
gntR	DNA-binding transcriptional repressor GntR	No
gntT	high-affinity gluconate transporter	No
gntU	low-affinity gluconate transporter	No
gor	glutathione reductase (NADPH)	No
gph	phosphoglycolate phosphatase	No
gpmA	2,3-bisphosphoglycerate-dependent	No
gpmM	2,3-bisphosphoglycerate-independent	No
gpp	guanosine-5'-triphosphate,3'-diphosphate	No
gpr	L-glyceraldehyde 3-phosphate reductase	No
gpsA	glycerol-3-phosphate dehydrogenase	No
gpt	xanthine-guanine phsophoribosyltransferase	No
grcA	stress-induced alternate pyruvate formate-lyase	No
greA	transcription elongation factor GreA	No
greB	transcription elongation factor GreB	No
groL	chaperonin GroEL	No
groS	cochaperonin GroES	No
grpE	nucleotide exchange factor GrpE	No
grxA	reduced glutaredoxin 1	No
grxB	reduced glutaredoxin 2	No
grxC	reduced glutaredoxin 3	No
grxD	glutaredoxin 4	No
gshA	glutamate--cysteine ligase	No
gshB	glutathione synthetase	No
gsiA	glutathione ABC transporter ATP binding subunit	No
gsiB	glutathione ABC transporter periplasmic binding	No
gsiC	glutathione ABC transporter membrane subunit	No
gsiD	glutathione ABC transporter membrane subunit	No
gsk	inosine/guanosine kinase	No
gspA	cryptic type II secretion system protein GspA	No
gspB	cryptic type II secretion system protein GspB	No
gspC	cryptic type II secretion system protein GspC	No
gspD	cryptic type II secretion system secretin	No
gspE	cryptic type II secretion system ATPase GspE	No
gspF	cryptic type II secretion system protein GspF	No
gspG	cryptic type II secretion system major	No
gspH	cryptic type II secretion system minor	No
gspI	cryptic type II secretion system minor	No
gspJ	cryptic type II secretion system minor	No
gspK	cryptic type II secretion system minor	No
gspL	cryptic type II secretion system protein GspL	No
gspM	cryptic type II secretion system protein GspM	No
gspO	cryptic type II secretion system prepilin	No
gss	fused glutathionylspermidine	No
gstA	glutathione S-transferase GstA	No
gstB	glutathione S-transferase GstB	No
guaA	GMP synthetase	No
guaB	inosine 5'-monophosphate dehydrogenase	No
guaC	GMP reductase	No
guaD	guanine deaminase	No
gudD	D-glucarate dehydratase	No
gudP	galactarate/D-glucarate transporter GudP	No
gudX	glucarate dehydratase-related protein	No
gutM	DNA-binding transcriptional activator GutM	No
gutQ	D-arabinose 5-phosphate isomerase GutQ	No
gyrA	DNA gyrase subunit A	No
gyrB	DNA gyrase subunit B	No
hcaB	2,3-dihydroxy-2,3-dihydrophenylpropionate	No
hcaC	putative 3-phenylpropionate/cinnamate	No
hcaD	putative 3-phenylpropionate/cinnamate	No
hcaE	putative 3-phenylpropionate/cinnamate	No
hcaF	putative 3-phenylpropionate/cinnamate	No
hcaR	DNA-binding transcriptional dual regulator HcaR	No
hcaT	putative 3-phenylpropionate transporter	No
hchA	protein/nucleic acid deglycase 1	No
hcp	protein S-nitrosylase	No
hcr	NADH oxidoreductase	No
hcxA	hydroxycarboxylate dehydrogenase A	No
hcxB	hydroxycarboxylate dehydrogenase B	No
hda	inibitor of reinitiation of DNA replication	No
hdeA	periplasmic acid stress chaperone HdeA	No
hdeB	periplasmic acid stress chaperone HdeB	No
hdeD	acid-resistance membrane protein	No
hdfR	DNA-binding transcriptional dual regulator HdfR	No
hdhA	7-alpha-hydroxysteroid dehydrogenase	No
helD	DNA helicase IV	No
hemA	glutamyl-tRNA reductase	No
hemB	porphobilinogen synthase	No
hemC	hydroxymethylbilane synthase	No
hemD	uroporphyrinogen-III synthase	No
hemE	uroporphyrinogen decarboxylase	No
hemF	coproporphyrinogen III oxidase	No
hemG	protoporphyrinogen oxidase	No
hemH	ferrochelatase	No
hemL	glutamate-1-semialdehyde 2,1-aminomutase	No
hemN	coproporphyrinogen III dehydrogenase	No
hemW	heme chaperone HemW	No
hemX	PF04375 family protein HemX	No
hemY	protein HemY	No
hflC	regulator of FtsH protease	No
hflD	lysogenization regulator	No
hflK	regulator of FtsH protease	No
hflX	ribosome rescue factor HflX	No
hfq	RNA-binding protein Hfq	No
hha	hemolysin expression-modulating protein Hha	Yes
hicA	mRNA interferase toxin HicA	Yes
hicB	antitoxin of the HicA-HicB toxin-antitoxin	Yes
higA	antitoxin/DNA-binding transcriptional repressor	Yes
higB	ribosome-dependent mRNA interferase toxin HigB	Yes
hinT	purine nucleoside phosphoramidase	No
hipA	serine/threonine-protein kinase toxin HipA	Yes
hipB	antitoxin/DNA-binding transcriptional repressor	Yes
hipH	serine/threonine-protein kinase toxin HipH	Yes
hisA	1-(5-phosphoribosyl)-5-[(5-	No
hisB	imidazoleglycerol-phosphate	No
hisC	histidinol-phosphate aminotransferase	No
hisD	histidinal/histidinol dehydrogenase	No
hisF	imidazole glycerol phosphate synthase subunit	No
hisG	ATP phosphoribosyltransferase	No
hisH	imidazole glycerol phosphate synthase subunit	No
hisI	putative bifunctional phosphoribosyl-AMP	No
hisJ	histidine ABC transporter periplasmic binding	No
hisL	his operon leader peptide	No
hisM	lysine/arginine/ornithine ABC	No
hisP	lysine/arginine/ornithine ABC	No
hisQ	lysine/arginine/ornithine ABC	No
hisR	tRNA-His	No
hisS	histidine--tRNA ligase	No
hiuH	hydroxyisourate hydrolase/transthyretin-related	No
hldE	fused heptose 7-phosphate kinase/heptose	No
hlyE	hemolysin E	Yes
hmp	nitric oxide dioxygenase	No
hns	DNA-binding transcriptional dual regulator H-NS	No
hofB	T2SSE family protein	No
hofC	inner membrane protein HofC	No
hofM	DNA utilization protein HofM	No
hofN	DNA utilization protein HofN	No
hofO	DNA utilization protein HofO	No
hofP	DNA utilization protein HofP	No
hofQ	DNA utilization protein HofQ	No
hokA	small toxic polypeptide	No
hokB	toxin HokB	Yes
hokC	small toxic polypeptide HokC	No
hokD	toxic protein HokD	No
hokE	small toxic polypeptide HokE	No
holA	DNA polymerase III subunit delta	No
holB	DNA polymerase III subunit delta'	No
holC	DNA polymerase III subunit chi	No
holD	DNA polymerase III subunit psi	No
holE	DNA polymerase III subunit theta	No
hpf	ribosome hibernation-promoting factor	No
hprR	DNA-binding transcriptional dual regulator HprR	No
hprS	sensor histidine kinase HprS	No
hpt	hypoxanthine phosphoribosyltransferase	No
hrpA	ATP-dependent 3'->5' RNA helicase HrpA	No
hrpB	RNA-dependent NTPase HrpB	No
hscA	[Fe-S] cluster biosynthesis chaperone HscA	No
hscB	[Fe-S] cluster biosynthesis co-chaperone HscB	No
hscC	chaperone protein HscC	No
hsdM	type I restriction enzyme EcoKI methylase	No
hsdR	type I restriction enzyme EcoKI endonuclease	No
hsdS	type I restriction enzyme EcoKI specificity	No
hslJ	lipoprotein implicated in Novobiocin resistance	No
hslO	molecular chaperone Hsp33	No
hslR	heat shock protein Hsp15	No
hslU	ATPase component of the HslVU protease	No
hslV	peptidase component of the HslVU protease	No
hspQ	heat shock protein HspQ	No
hsrA	putative transporter HsrA	No
htpG	chaperone protein HtpG	No
htpX	protease HtpX	No
htrE	putative fimbrial usher protein HtrE	No
htrL	protein HtrL	No
hupA	DNA-binding protein HU-alpha	No
hupB	DNA-binding protein HU-beta	No
hxpA	hexitol phosphatase A	No
hxpB	hexitol phosphatase B	No
hyaA	hydrogenase 1 small subunit	No
hyaB	hydrogenase 1 large subunit	No
hyaC	hydrogenase 1 cytochrome b subunit	No
hyaD	putative hydrogenase 1 maturation protease HyaD	No
hyaE	putative HyaA chaperone	No
hyaF	protein HyaF	No
hybA	hydrogenase 2 [Fe-S] protein	No
hybB	hydrogenase 2 membrane subunit	No
hybC	hydrogenase 2 large subunit	No
hybD	hydrogenase 2 maturation protease	No
hybE	hydrogenase 2-specific chaperone	No
hybF	hydrogenase maturation protein HybF	No
hybG	hydrogenase maturation factor HybG	No
hybO	hydrogenase 2 small subunit	No
hycA	regulator of the transcriptional regulator FhlA	No
hycB	hydrogenase 3 [Fe-S] protein HycB	No
hycC	hydrogenase 3 membrane subunit HycC	No
hycD	hydrogenase 3 membrane subunit HycD	No
hycE	hydrogenase 3 large subunit	No
hycF	hydrogenase 3 [Fe-S] protein HycF	No
hycG	hydrogenase 3 [Fe-S] protein HycG	No
hycH	formate hydrogenlyase assembly protein	No
hycI	hydrogenase 3 maturation protease	No
hydN	putative electron transport protein HydN	No
hyfA	hydrogenase 4 component A	No
hyfB	hydrogenase 4 component B	No
hyfC	hydrogenase 4 component C	No
hyfD	hydrogenase 4 component D	No
hyfE	hydrogenase 4 component E	No
hyfF	hydrogenase 4 component F	No
hyfG	hydrogenase 4 catalytic subunit HyfG	No
hyfH	hydrogenase 4 component H	No
hyfI	hydrogenase 4 catalytic subunit HyfI	No
hyfJ	putative hydrogenase 4 assembly protein	No
hyfR	DNA-binding transcriptional activator HyfR	No
hyi	hydroxypyruvate isomerase	No
hypA	hydrogenase 3 Ni(2(+)) incorporation protein	No
hypB	hydrogenase isoenzymes Ni(2(+)) incorporation	No
hypC	hydrogenase maturation factor HypC	No
hypD	Fe-(CN)2CO cofactor assembly scaffold protein	No
hypE	carbamoyl dehydratase HypE	No
hypF	carbamoyl--[HypE] ligase	No
hypT	DNA-binding transcriptional dual regulator HypT	No
hyuA	phenylhydantoinase	No
iaaA	isoaspartyl dipeptidase proenzyme	No
iadA	isoaspartyl dipeptidase	No
iap	alkaline phosphatase isozyme conversion protein	No
ibaG	acid stress protein IbaG	No
ibpA	small heat shock protein IbpA	No
ibpB	small heat shock protein IbpB	No
ibsA	toxic peptide IbsA	No
ibsB	putative toxic peptide IbsB	No
ibsC	toxic peptide IbsC	No
ibsD	putative toxic peptide IbsD	No
ibsE	toxic peptide IbsE	No
icd	isocitrate dehydrogenase	No
iclR	DNA-binding transcriptional repressor IclR	No
idi	isopentenyl-diphosphate Delta-isomerase	No
idlP	iraD leader peptide	No
idnD	L-idonate 5-dehydrogenase	No
idnK	D-gluconate kinase, thermosensitive	No
idnO	5-keto-D-gluconate 5-reductase	No
idnR	DNA-binding transcriptional dual regulator IdnR	No
idnT	L-idonate/5-ketogluconate/gluconate transporter	No
igaA	inner membrane protein involved in phosphorelay	No
ihfA	integration host factor subunit alpha	No
ihfB	integration host factor subunit beta	No
ileS	isoleucine--tRNA ligase	No
ileT	tRNA-Ile	No
ileU	tRNA-Ile	No
ileV	tRNA-Ile	No
ileX	tRNA-Ile	No
ileY	tRNA-Ile	No
ilvA	threonine deaminase	No
ilvB	acetohydroxy acid synthase I subunit IlvB	No
ilvC	ketol-acid reductoisomerase (NADP(+))	No
ilvD	dihydroxy-acid dehydratase	No
ilvE	branched-chain-amino-acid aminotransferase	No
ilvH	acetolactate synthase/acetohydroxybutanoate	No
ilvI	acetolactate synthase/acetohydroxybutanoate	No
ilvL	ilvXGMEDA operon leader peptide	No
ilvM	acetolactate synthase II subunit IlvM	No
ilvN	acetohydroxy acid synthase I subunit IlvN	No
ilvX	uncharacterized protein IlvX	No
ilvY	DNA-binding transcriptional dual regulator IlvY	No
inaA	putative lipopolysaccharide kinase InaA	No
infA	translation initiation factor IF-1	No
infB	translation initiation factor IF-2beta'	No
infC	translation initiation factor IF-3	No
insA1	IS1 family protein InsA	No
insA2	IS1 protein InsA	No
insA3	IS1 protein InsA	No
insA4	IS1 protein InsA	No
insA5	IS1 protein InsA	No
insA6	IS1 protein InsA	No
insA7	IS1 repressor protein InsA	No
insA9	IS1 repressor TnpA	No
insB1	IS1 family protein InsB	No
insB2	IS1 protein InsB	No
insB3	IS1 protein InsB	No
insB4	IS1 protein InsB	No
insB5	IS1 protein InsB	No
insB6	IS1 protein InsB	No
insB9	IS1 transposase B	No
insC1	IS2 element protein InsA	No
insC2	IS2 insertion element repressor InsA	No
insC3	IS2 insertion element repressor InsA	No
insC4	IS2 insertion element repressor InsA	No
insC5	IS2 insertion element repressor InsA	No
insC6	IS2 insertion element repressor InsA	No
insD1	IS2 element protein	No
insD2	IS2 insertion element protein InsB	No
insD3	IS2 insertion element protein InsB	No
insD4	IS2 insertion element protein InsB	No
insD5	IS2 insertion element protein InsB	No
insD6	IS2 insertion element protein InsB	No
insE1	IS3 element protein InsE	No
insE2	IS3 element protein InsE	No
insE3	IS3 element protein InsE	No
insE4	IS3 element protein InsE	No
insE5	IS3 element protein InsE	No
insF1	IS3 element protein InsF	No
insF2	IS3 element protein InsF	No
insF3	IS3 element protein InsF	No
insF4	IS3 element protein InsF	No
insF5	IS3 element protein InsF	No
insG	IS4 putative transposase	No
insH1	IS5 transposase and trans-activator	No
insH10	IS5 transposase and trans-activator	No
insH11	IS5 transposase and trans-activator	No
insH2	IS5 transposase and trans-activator	No
insH21	IS5 transposase and trans-activator	No
insH3	IS5 transposase and trans-activator	No
insH4	IS5 transposase and trans-activator	No
insH5	IS5 transposase and trans-activator	No
insH6	IS5 transposase and trans-activator	No
insH7	IS5 transposase and trans-activator	No
insH8	IS5 transposase and trans-activator	No
insH9	IS5 transposase and trans-activator	No
insI1	IS30 transposase	No
insI2	IS30 transposase	No
insI3	IS30 transposase	No
insJ	insertion element IS150 protein InsA	No
insK	IS150 conserved protein InsB	No
insL1	IS186/IS421 family transposase	No
insL2	IS186/IS421 transposase	No
insL3	putative IS186/IS421 transposase	No
insN	CP4-6 prophage; IS911A regulator fragment	No
insO	KpLE2 phage-like element; IS911B regulator	No
insQ	putative RNA-guided DNA endonuclease InsQ	No
intA	integrase IntA	No
intD	putative integrase	No
intE	putative integrase	No
intF	putative phage integrase	No
intR	putative integrase	No
intS	prophage CPS-53 integrase	No
intZ	putative phage integrase IntZ	No
iprA	putative DNA-binding transcriptional regulator	No
iraD	anti-adaptor protein IraD	No
iraM	anti-adaptor protein IraM	No
iraP	anti-adaptor protein IraP	No
iroK	protein IroK	No
iscA	iron-sulfur cluster insertion protein IscA	No
iscR	DNA-binding transcriptional dual regulator IscR	No
iscS	cysteine desulfurase IscS	No
iscU	scaffold protein for [Fe-S] cluster assembly	No
iscX	accessory [Fe-S] cluster assembly protein IscX	No
ispA	geranyl diphosphate/farnesyl diphosphate	No
ispB	all-trans-octaprenyl-diphosphate synthase	No
ispD	2-C-methyl-D-erythritol 4-phosphate	No
ispE	4-(cytidine	No
ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	No
ispG	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate	No
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate	No
ispU	ditrans,polycis-undecaprenyl-diphosphate	No
ispZ	small regulatory RNA IspZ	No
isrC	small RNA IsrC	No
istR	small RNA IstR-2	No
istR	small regulatory RNA IstR-1	No
ivbL	ilvBN operon leader peptide	No
ivy	periplasmic chaperone, inhibitor of vertebrate	No
katE	catalase HPII	No
katG	catalase/hydroperoxidase HPI	No
kbaY	tagatose-1,6-bisphosphate aldolase 1	No
kbaZ	putative tagatose-1,6-bisphosphate aldolase 1	No
kbl	2-amino-3-ketobutyrate CoA ligase	No
kbp	K(+) binding protein	No
kch	K(+) channel Kch	No
kdgK	2-dehydro-3-deoxygluconokinase	No
kdgR	DNA-binding transcriptional repressor KdgR	No
kdgT	2-dehydro-3-deoxy-D-gluconate:H(+) symporter	No
kdpA	K(+) transporting P-type ATPase subunit KdpA	No
kdpB	K(+) transporting P-type ATPase subunit KdpB	No
kdpC	K(+) transporting P-type ATPase subunit KdpC	No
kdpD	sensor histidine kinase KdpD	No
kdpE	DNA-binding transcriptional dual regulator KdpE	No
kdpF	K(+) transporting P-type ATPase subunit KdpF	No
kdsA	3-deoxy-D-manno-octulosonate 8-phosphate	No
kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	No
kdsC	3-deoxy-D-manno-octulosonate 8-phosphate	No
kdsD	D-arabinose 5-phosphate isomerase KdsD	No
kduD	2-keto-3-deoxy-D-gluconate dehydrogenase	No
kduI	5-dehydro-4-deoxy-D-glucuronate isomerase	No
kefB	K(+) : H(+) antiporter KefB	No
kefC	K(+) : H(+) antiporter KefC	No
kefF	regulator of KefC-mediated potassium transport	No
kefG	glutathione-regulated potassium-efflux system	No
kgtP	alpha-ketoglutarate:H(+) symporter	No
kilR	inhibitor of FtsZ	No
kilS	small RNA KilS	No
kptA	RNA 2'-phosphotransferase	No
kup	K(+):H(+) symporter Kup	No
lacA	galactoside O-acetyltransferase	No
lacI	DNA-binding transcriptional repressor LacI	No
lacY	lactose permease	No
lacZ	beta-galactosidase	No
lamB	maltose outer membrane channel/phage lambda	No
lapA	lipopolysaccharide assembly protein A	No
lapB	lipopolysaccharide assembly protein B	No
lapC	lipopolysaccharide signal transducer LapC	No
ldcA	murein tetrapeptide carboxypeptidase	No
ldcC	lysine decarboxylase 2	No
ldhA	D-lactate dehydrogenase	No
ldrA	small toxic polypeptide LdrA	No
ldrB	small toxic polypeptide LdrB	No
ldrC	small toxic polypeptide LdrC	No
ldrD	small toxic polypeptide LdrD	No
ldtA	L,D-transpeptidase LdtA	No
ldtB	L,D-transpeptidase LdtB	No
ldtC	L,D-transpeptidase LdtC	No
ldtD	L,D-transpeptidase LdtD	No
ldtE	L,D-transpeptidase LdtE	No
lepA	30S ribosomal subunit biogenesis factor LepA	No
lepB	signal peptidase I	No
letA	intermembrane transport protein LetA	No
letB	lipophilic envelope spanning tunnel	No
leuA	2-isopropylmalate synthase	No
leuB	3-isopropylmalate dehydrogenase	No
leuC	3-isopropylmalate dehydratase subunit LeuC	No
leuD	3-isopropylmalate dehydratase subunit LeuD	No
leuE	leucine exporter	No
leuL	leu operon leader peptide	No
leuO	DNA-binding transcriptional dual regulator LeuO	No
leuP	tRNA-Leu	No
leuQ	tRNA-Leu	No
leuS	leucine--tRNA ligase	No
leuT	tRNA-Leu	No
leuU	tRNA-Leu	No
leuV	tRNA-Leu	No
leuW	tRNA-Leu	No
leuX	tRNA-Leu	No
leuZ	tRNA-Leu	No
lexA	DNA-binding transcriptional repressor LexA	No
lfgA	putative antirestriction protein	No
lfgB	CP4-57 prophage protease	No
lgoD	L-galactonate oxidoreductase	No
lgoR	putative DNA-binding transcriptional regulator	No
lgoT	galactonate:H(+) symporter	No
lgt	phosphatidylglycerol--prolipoprotein	No
lhgD	L-2-hydroxyglutarate dehydrogenase	No
lhr	ATP-dependent helicase Lhr	No
ligA	DNA ligase	No
ligB	DNA ligase B	No
lipA	lipoyl synthase	No
lipB	lipoyl(octanoyl) transferase	No
lit	cell death peptidase Lit	No
livF	branched chain amino acid/phenylalanine ABC	No
livG	branched chain amino acid/phenylalanine ABC	No
livH	branched chain amino acid/phenylalanine ABC	No
livJ	branched chain amino acid/phenylalanine ABC	No
livK	L-leucine/L-phenylalanine ABC transporter	No
livM	branched chain amino acid/phenylalanine ABC	No
lldD	L-lactate dehydrogenase	No
lldP	lactate/glycolate:H(+) symporter LldP	No
lldR	DNA-binding transcriptional dual regulator LldR	No
lnt	apolipoprotein N-acyltransferase	No
loiP	metalloprotease LoiP	No
lolA	outer membrane lipoprotein carrier protein	No
lolB	outer membrane lipoprotein LolB	No
lolC	lipoprotein release complex - inner membrane	No
lolD	lipoprotein release complex - ATP binding	No
lolE	lipoprotein release complex - inner membrane	No
lomR	Rac prophage; protein LomR_1	No
lon	Lon protease	No
lpd	lipoamide dehydrogenase	No
lplA	lipoate--protein ligase A	No
lplT	lysophospholipid transporter	No
lpoA	outer membrane lipoprotein - activator of MrcA	No
lpoB	outer membrane lipoprotein - activator of MrcB	No
lpp	murein lipoprotein	No
lptA	lipopolysaccharide transport system protein	No
lptB	lipopolysaccharide transport system ATP binding	No
lptC	lipopolysaccharide transport system protein	No
lptD	lipopolysaccharide assembly protein LptD	No
lptE	lipopolysaccharide assembly protein LptE	No
lptF	lipopolysaccharide transport system protein	No
lptG	lipopolysaccharide transport system protein	No
lptM	LptD oxidative maturation-associated	No
lpxA	acyl-[acyl-carrier-protein]--UDP-N-	No
lpxB	lipid A disaccharide synthase	No
lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	No
lpxD	UDP-3-O-(3-hydroxymyristoyl)glucosamine	No
lpxH	UDP-2,3-diacylglucosamine diphosphatase	No
lpxK	tetraacyldisaccharide 4'-kinase	No
lpxL	lauroyl acyltransferase	No
lpxM	Lipid A biosynthesis myristoyltransferase	No
lpxP	palmitoleoyl acyltransferase	No
lpxT	lipid A-core phosphotransferase	No
lrhA	DNA-binding transcriptional dual regulator LrhA	No
lrp	DNA-binding transcriptional dual regulator Lrp	No
lspA	lipoprotein signal peptidase	No
lsrA	Autoinducer-2 ABC transporter ATP binding	No
lsrB	Autoinducer-2 ABC transporter periplasmic	No
lsrC	Autoinducer-2 ABC transporter membrane subunit	No
lsrD	Autoinducer-2 ABC transporter membrane subunit	No
lsrF	3-hydroxy-2,4-pentadione 5-phosphate thiolase	No
lsrG	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione	No
lsrK	autoinducer-2 kinase	No
lsrR	DNA-binding transcriptional repressor LsrR	No
ltaE	low-specificity L-threonine aldolase	No
luxS	S-ribosylhomocysteine lyase	No
lysA	diaminopimelate decarboxylase	No
lysC	aspartate kinase III	No
lysO	L-lysine/thialysine exporter	No
lysP	lysine:H(+) symporter	No
lysQ	tRNA-Lys	No
lysR	DNA-binding transcriptional dual regulator LysR	No
lysS	lysine--tRNA ligase	No
lysT	tRNA-Lys	No
lysU	lysyl-tRNA synthetase	No
lysV	tRNA-Lys	No
lysW	tRNA-Lys	No
lysY	tRNA-Lys	No
lysZ	tRNA-Lys	No
lyxK	L-xylulose kinase	No
maa	maltose O-acetyltransferase	No
macA	ABC-type tripartite efflux pump membrane fusion	No
macB	ABC-type tripartite efflux pump ATP	No
maeA	malate dehydrogenase	No
maeB	malate dehydrogenase	No
mak	fructokinase	No
malE	maltose ABC transporter periplasmic binding	No
malF	maltose ABC transporter membrane subunit MalF	No
malG	maltose ABC transporter membrane subunit MalG	No
malH	small regulatory RNA MalH	No
malI	DNA-binding transcriptional repressor MalI	No
malK	maltose ABC transporter ATP binding subunit	No
malM	maltose regulon periplasmic protein	No
malP	maltodextrin phosphorylase	No
malQ	4-alpha-glucanotransferase	No
malS	alpha-amylase	No
malT	DNA-binding transcriptional activator MalT	No
malX	PTS enzyme IIBC component MalX	No
malY	negative regulator of MalT	No
malZ	maltodextrin glucosidase	No
manA	mannose-6-phosphate isomerase	No
manX	mannose-specific PTS enzyme IIAB component	No
manY	mannose-specific PTS enzyme IIC component	No
manZ	mannose-specific PTS enzyme IID component	No
maoP	macrodomain Ori protein	No
map	methionine aminopeptidase	No
marA	DNA-binding transcriptional dual regulator MarA	No
marB	multiple antibiotic resistance protein MarB	No
marC	inner membrane protein MarC	No
marR	DNA-binding transcriptional repressor MarR	No
matA	DNA-binding transcriptional dual regulator MatA	No
matP	macrodomain Ter protein	No
mazE	antitoxin of the MazF-MazE toxin-antitoxin	Yes
mazF	endoribonuclease toxin MazF	Yes
mazG	nucleoside triphosphate pyrophosphohydrolase	No
mbiA	uncharacterized protein MbiA	No
mcaS	small regulatory RNA McaS	No
mcbA	DUF1471 domain-containing protein McbA	No
mcbR	DNA-binding transcriptional dual regulator McbR	No
mcrA	Type IV methyl-directed restriction enzyme	No
mcrB	5-methylcytosine-specific restriction enzyme	No
mcrB	mcrB-S	No
mcrC	Type IV methyl-directed restriction enzyme	No
mdaB	NADPH:quinone oxidoreductase MdaB	No
mdfA	multidrug efflux pump MdfA/Na(+):H(+)	No
mdh	malate dehydrogenase	No
mdlA	ABC transporter family protein MdlA	No
mdlB	ABC transporter family protein MdlB	No
mdtA	multidrug efflux pump membrane fusion protein	No
mdtB	multidrug efflux pump RND permease subunit MdtB	No
mdtC	multidrug efflux pump RND permease subunit MdtC	No
mdtD	putative multidrug efflux pump MdtD	No
mdtE	multidrug efflux pump membrane fusion protein	No
mdtF	multidrug efflux pump RND permease MdtF	No
mdtG	efflux pump MdtG	No
mdtH	multidrug efflux pump MdtH	No
mdtI	multidrug/spermidine efflux pump membrane	No
mdtJ	multidrug/spermidine efflux pump membrane	No
mdtK	multidrug efflux pump MdtK	No
mdtL	efflux pump MdtL	No
mdtM	multidrug efflux pump/bile salt:H(+)	No
mdtN	putative multidrug efflux pump membrane fusion	No
mdtO	putative multidrug efflux pump subunit MdtO	No
mdtP	putative multidrug efflux pump outer membrane	No
mdtU	protein MdtU	No
melA	alpha-galactosidase	No
melB	melibiose:H(+)/Na(+)/Li(+) symporter	No
melR	DNA-binding transcriptional dual regulator MelR	No
menA	1,4-dihydroxy-2-naphthoate	No
menB	1,4-dihydroxy-2-naphthoyl-CoA synthase	No
menC	o-succinylbenzoate synthase	No
menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-	No
menE	o-succinylbenzoate--CoA ligase	No
menF	isochorismate synthase MenF	No
menH	2-succinyl-6-hydroxy-2,	No
menI	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	No
mepA	peptidoglycan DD-endopeptidase/peptidoglycan	No
mepH	peptidoglycan endopeptidase/peptidoglycan	No
mepK	peptidoglycan L,D-endopeptidase	No
mepM	peptidoglycan endopeptidase MepM	No
mepS	peptidoglycan endopeptidase/peptidoglycan	No
metA	homoserine O-succinyltransferase	No
metB	O-succinylhomoserine(thiol)-lyase/O-	No
metC	cystathionine beta-lyase/L-cysteine	No
metE	cobalamin-independent homocysteine	No
metF	5,10-methylenetetrahydrofolate reductase	No
metG	methionine--tRNA ligase	No
metH	cobalamin-dependent methionine synthase	No
metI	L-methionine/D-methionine ABC transporter	No
metJ	DNA-binding transcriptional repressor MetJ	No
metK	methionine adenosyltransferase	No
metL	fused aspartate kinase/homoserine dehydrogenase	No
metN	L-methionine/D-methionine ABC transporter ATP	No
metQ	L-methionine/D-methionine ABC transporter	No
metR	DNA-binding transcriptional dual regulator MetR	No
metT	tRNA-Met	No
metU	tRNA-Met	No
metV	tRNA-Met	No
metW	tRNA-Met	No
metY	tRNA-Met	No
metZ	tRNA-Met	No
mfd	transcription-repair coupling factor	No
mglA	D-galactose/methyl-galactoside ABC transporter	No
mglB	D-galactose/methyl-galactoside ABC transporter	No
mglC	D-galactose/methyl-galactoside ABC transporter	No
mgrB	PhoQ kinase inhibitor	No
mgrR	small regulatory RNA MgrR	No
mgsA	methylglyoxal synthase	No
mgtA	Mg(2(+)) importing P-type ATPase	No
mgtL	leader peptide MgtL	No
mgtS	small protein MgtS	No
mgtT	protein MgtT	No
mhpA	3-(3-hydroxyphenyl)propanoate hydroxylase	No
mhpB	3-carboxyethylcatechol 2,3-dioxygenase	No
mhpC	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	No
mhpD	2-hydroxypentadienoate hydratase	No
mhpE	4-hydroxy-2-oxovalerate aldolase	No
